




Analysis Type:	PANTHER Overrepresentation Test (Released 20230705)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.7942786 Released 2023-05-10
Analyzed List:	go-genelist-py-elastic.csv (Homo sapiens)go-genelist-r.csv (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	NONE
GO biological process complete	Homo sapiens - REFLIST (20589)	go-genelist-py-elastic.csv (79)	go-genelist-py-elastic.csv (expected)	go-genelist-py-elastic.csv (over/under)	go-genelist-py-elastic.csv (fold Enrichment)	go-genelist-py-elastic.csv (raw P-value)	go-genelist-r.csv (142)	go-genelist-r.csv (expected)	go-genelist-r.csv (over/under)	go-genelist-r.csv (fold Enrichment)	go-genelist-r.csv (raw P-value)
cellular response to tumor necrosis factor (GO:0071356)	179	4	.69	+	5.82	5.33E-03	4	1.23	+	3.24	3.73E-02
response to carbohydrate (GO:0009743)	180	4	.69	+	5.79	5.44E-03	5	1.24	+	4.03	8.99E-03
response to temperature stimulus (GO:0009266)	180	4	.69	+	5.79	5.44E-03	3	1.24	+	2.42	1.31E-01
lymphocyte activation involved in immune response (GO:0002285)	136	3	.52	+	5.75	1.62E-02	3	.94	+	3.20	7.05E-02
response to fibroblast growth factor (GO:0071774)	91	2	.35	+	5.73	4.94E-02	0	.63	-	 < 0.01	1.00E00
regulation of leukocyte apoptotic process (GO:2000106)	91	2	.35	+	5.73	4.94E-02	1	.63	+	1.59	4.69E-01
peptide transport (GO:0015833)	91	2	.35	+	5.73	4.94E-02	0	.63	-	 < 0.01	1.00E00
regulation of RNA splicing (GO:0043484)	183	4	.70	+	5.70	5.75E-03	0	1.26	-	 < 0.01	6.40E-01
regulation of G protein-coupled receptor signaling pathway (GO:0008277)	138	3	.53	+	5.67	1.69E-02	1	.95	+	1.05	6.17E-01
positive regulation of leukocyte differentiation (GO:1902107)	185	4	.71	+	5.64	5.97E-03	3	1.28	+	2.35	1.39E-01
positive regulation of hemopoiesis (GO:1903708)	185	4	.71	+	5.64	5.97E-03	3	1.28	+	2.35	1.39E-01
carboxylic acid transmembrane transport (GO:1905039)	139	3	.53	+	5.62	1.72E-02	1	.96	+	1.04	6.19E-01
organic acid transmembrane transport (GO:1903825)	140	3	.54	+	5.58	1.75E-02	1	.97	+	1.04	6.22E-01
skeletal muscle tissue development (GO:0007519)	140	3	.54	+	5.58	1.75E-02	2	.97	+	2.07	2.54E-01
negative regulation of cold-induced thermogenesis (GO:0120163)	47	1	.18	+	5.55	1.68E-01	2	.32	+	6.17	4.44E-02
mRNA transcription by RNA polymerase II (GO:0042789)	47	1	.18	+	5.55	1.68E-01	2	.32	+	6.17	4.44E-02
regulation of extrinsic apoptotic signaling pathway via death domain receptors (GO:1902041)	48	1	.18	+	5.43	1.71E-01	3	.33	+	9.06	5.15E-03
aspartate family amino acid metabolic process (GO:0009066)	48	1	.18	+	5.43	1.71E-01	2	.33	+	6.04	4.61E-02
gluconeogenesis (GO:0006094)	49	1	.19	+	5.32	1.74E-01	2	.34	+	5.92	4.78E-02
negative regulation of epithelial cell differentiation (GO:0030857)	49	1	.19	+	5.32	1.74E-01	3	.34	+	8.88	5.44E-03
cellular response to glucose starvation (GO:0042149)	49	1	.19	+	5.32	1.74E-01	2	.34	+	5.92	4.78E-02
antimicrobial humoral response (GO:0019730)	150	3	.58	+	5.21	2.09E-02	2	1.03	+	1.93	2.79E-01
alpha-amino acid metabolic process (GO:1901605)	200	4	.77	+	5.21	7.78E-03	6	1.38	+	4.35	2.99E-03
cellular response to lipopolysaccharide (GO:0071222)	200	4	.77	+	5.21	7.78E-03	4	1.38	+	2.90	5.19E-02
negative regulation of I-kappaB kinase/NF-kappaB signaling (GO:0043124)	50	1	.19	+	5.21	1.78E-01	2	.34	+	5.80	4.94E-02
regulation of myeloid cell differentiation (GO:0045637)	202	4	.78	+	5.16	8.05E-03	4	1.39	+	2.87	5.34E-02
maintenance of location in cell (GO:0051651)	101	2	.39	+	5.16	5.92E-02	3	.70	+	4.31	3.47E-02
skeletal muscle organ development (GO:0060538)	152	3	.58	+	5.14	2.16E-02	2	1.05	+	1.91	2.85E-01
response to extracellular stimulus (GO:0009991)	509	10	1.95	+	5.12	2.79E-05	13	3.51	+	3.70	6.37E-05
response to tumor necrosis factor (GO:0034612)	205	4	.79	+	5.09	8.46E-03	4	1.41	+	2.83	5.58E-02
placenta development (GO:0001890)	154	3	.59	+	5.08	2.23E-02	1	1.06	-	.94	1.00E00
response to heat (GO:0009408)	103	2	.40	+	5.06	6.12E-02	3	.71	+	4.22	3.64E-02
response to ketone (GO:1901654)	207	4	.79	+	5.04	8.74E-03	7	1.43	+	4.90	6.94E-04
cellular response to steroid hormone stimulus (GO:0071383)	156	3	.60	+	5.01	2.31E-02	4	1.08	+	3.72	2.44E-02
hormone metabolic process (GO:0042445)	208	4	.80	+	5.01	8.88E-03	7	1.43	+	4.88	7.13E-04
positive regulation of lipid metabolic process (GO:0045834)	157	3	.60	+	4.98	2.35E-02	1	1.08	-	.92	1.00E00
response to oxidative stress (GO:0006979)	367	7	1.41	+	4.97	5.69E-04	8	2.53	+	3.16	4.37E-03
cellular response to molecule of bacterial origin (GO:0071219)	211	4	.81	+	4.94	9.32E-03	4	1.46	+	2.75	6.06E-02
retinol metabolic process (GO:0042572)	53	1	.20	+	4.92	1.87E-01	3	.37	+	8.21	6.69E-03
response to nutrient levels (GO:0031667)	479	9	1.84	+	4.90	1.01E-04	12	3.30	+	3.63	1.47E-04
cellular response to chemical stress (GO:0062197)	270	5	1.04	+	4.83	4.07E-03	3	1.86	+	1.61	4.39E-01
reactive oxygen species metabolic process (GO:0072593)	108	2	.41	+	4.83	6.64E-02	3	.74	+	4.03	4.09E-02
response to hypoxia (GO:0001666)	272	5	1.04	+	4.79	4.19E-03	6	1.88	+	3.20	1.24E-02
import across plasma membrane (GO:0098739)	167	3	.64	+	4.68	2.74E-02	1	1.15	-	.87	1.00E00
negative regulation of inflammatory response (GO:0050728)	167	3	.64	+	4.68	2.74E-02	4	1.15	+	3.47	3.02E-02
learning or memory (GO:0007611)	279	5	1.07	+	4.67	4.66E-03	3	1.92	+	1.56	4.47E-01
mononuclear cell differentiation (GO:1903131)	335	6	1.29	+	4.67	1.95E-03	5	2.31	+	2.16	8.48E-02
epithelial cell apoptotic process (GO:1904019)	56	1	.21	+	4.65	1.96E-01	3	.39	+	7.77	7.73E-03
digestion (GO:0007586)	112	2	.43	+	4.65	7.06E-02	3	.77	+	3.88	4.46E-02
response to endoplasmic reticulum stress (GO:0034976)	226	4	.87	+	4.61	1.17E-02	2	1.56	+	1.28	6.71E-01
response to peptide (GO:1901652)	454	8	1.74	+	4.59	3.82E-04	11	3.13	+	3.51	3.67E-04
response to decreased oxygen levels (GO:0036293)	286	5	1.10	+	4.56	5.16E-03	6	1.97	+	3.04	1.54E-02
response to bacterium (GO:0009617)	688	12	2.64	+	4.55	1.33E-05	9	4.75	+	1.90	5.83E-02
lymphocyte differentiation (GO:0030098)	290	5	1.11	+	4.49	5.46E-03	4	2.00	+	2.00	1.43E-01
cellular response to lipid (GO:0071396)	527	9	2.02	+	4.45	2.04E-04	10	3.63	+	2.75	3.94E-03
maintenance of location (GO:0051235)	177	3	.68	+	4.42	3.17E-02	3	1.22	+	2.46	1.26E-01
cellular response to biotic stimulus (GO:0071216)	238	4	.91	+	4.38	1.39E-02	4	1.64	+	2.44	8.51E-02
response to inorganic substance (GO:0010035)	539	9	2.07	+	4.35	2.40E-04	10	3.72	+	2.69	4.60E-03
positive regulation of wound healing (GO:0090303)	60	1	.23	+	4.34	2.09E-01	3	.41	+	7.25	9.26E-03
negative regulation of cell-substrate adhesion (GO:0010812)	60	1	.23	+	4.34	2.09E-01	3	.41	+	7.25	9.26E-03
T cell differentiation (GO:0030217)	181	3	.69	+	4.32	3.35E-02	2	1.25	+	1.60	3.57E-01
immunoglobulin mediated immune response (GO:0016064)	182	3	.70	+	4.30	3.40E-02	4	1.26	+	3.19	3.92E-02
response to lipid (GO:0033993)	854	14	3.28	+	4.27	4.68E-06	15	5.89	+	2.55	9.27E-04
B cell mediated immunity (GO:0019724)	187	3	.72	+	4.18	3.64E-02	4	1.29	+	3.10	4.26E-02
response to oxygen levels (GO:0070482)	314	5	1.20	+	4.15	7.54E-03	6	2.17	+	2.77	2.31E-02
B cell activation (GO:0042113)	191	3	.73	+	4.09	3.83E-02	3	1.32	+	2.28	1.48E-01
positive regulation of apoptotic process (GO:0043065)	510	8	1.96	+	4.09	8.09E-04	4	3.52	+	1.14	7.82E-01
humoral immune response (GO:0006959)	256	4	.98	+	4.07	1.76E-02	4	1.77	+	2.27	1.04E-01
response to alcohol (GO:0097305)	256	4	.98	+	4.07	1.76E-02	3	1.77	+	1.70	2.62E-01
cognition (GO:0050890)	321	5	1.23	+	4.06	8.24E-03	3	2.21	+	1.36	4.89E-01
regulation of I-kappaB kinase/NF-kappaB signaling (GO:0043122)	258	4	.99	+	4.04	1.81E-02	4	1.78	+	2.25	1.06E-01
alpha-amino acid biosynthetic process (GO:1901607)	66	1	.25	+	3.95	2.27E-01	4	.46	+	8.79	1.36E-03
vascular process in circulatory system (GO:0003018)	265	4	1.02	+	3.93	1.97E-02	1	1.83	-	.55	1.00E00
positive regulation of programmed cell death (GO:0043068)	533	8	2.05	+	3.91	1.07E-03	4	3.68	+	1.09	7.88E-01
leukocyte activation involved in immune response (GO:0002366)	201	3	.77	+	3.89	4.34E-02	3	1.39	+	2.16	1.65E-01
isoprenoid metabolic process (GO:0006720)	135	2	.52	+	3.86	9.67E-02	5	.93	+	5.37	2.80E-03
glucose homeostasis (GO:0042593)	203	3	.78	+	3.85	4.44E-02	4	1.40	+	2.86	5.42E-02
carbohydrate homeostasis (GO:0033500)	204	3	.78	+	3.83	4.50E-02	4	1.41	+	2.84	5.50E-02
cellular response to metal ion (GO:0071248)	204	3	.78	+	3.83	4.50E-02	1	1.41	-	.71	1.00E00
negative regulation of epithelial cell migration (GO:0010633)	68	1	.26	+	3.83	2.33E-01	3	.47	+	6.40	1.28E-02
cell activation involved in immune response (GO:0002263)	205	3	.79	+	3.81	4.55E-02	4	1.41	+	2.83	5.58E-02
epidermal cell differentiation (GO:0009913)	207	3	.79	+	3.78	4.66E-02	2	1.43	+	1.40	6.56E-01
positive regulation of immune effector process (GO:0002699)	276	4	1.06	+	3.78	2.24E-02	4	1.90	+	2.10	1.26E-01
response to glucose (GO:0009749)	139	2	.53	+	3.75	1.01E-01	5	.96	+	5.22	3.16E-03
regulation of body fluid levels (GO:0050878)	350	5	1.34	+	3.72	1.16E-02	7	2.41	+	2.90	1.16E-02
selective autophagy (GO:0061912)	70	1	.27	+	3.72	2.38E-01	3	.48	+	6.21	1.38E-02
leukocyte differentiation (GO:0002521)	424	6	1.63	+	3.69	6.07E-03	7	2.92	+	2.39	2.91E-02
positive regulation of response to wounding (GO:1903036)	71	1	.27	+	3.67	2.41E-01	4	.49	+	8.17	1.76E-03
amino acid metabolic process (GO:0006520)	285	4	1.09	+	3.66	2.48E-02	8	1.97	+	4.07	9.48E-04
response to hormone (GO:0009725)	791	11	3.04	+	3.62	2.28E-04	13	5.46	+	2.38	3.58E-03
response to hexose (GO:0009746)	144	2	.55	+	3.62	1.08E-01	5	.99	+	5.03	3.65E-03
negative regulation of endopeptidase activity (GO:0010951)	144	2	.55	+	3.62	1.08E-01	4	.99	+	4.03	1.90E-02
peptide metabolic process (GO:0006518)	514	7	1.97	+	3.55	3.77E-03	7	3.54	+	1.97	9.41E-02
carboxylic acid transport (GO:0046942)	295	4	1.13	+	3.53	2.77E-02	2	2.03	-	.98	1.00E00
organic acid transport (GO:0015849)	296	4	1.14	+	3.52	2.80E-02	2	2.04	-	.98	1.00E00
response to metal ion (GO:0010038)	372	5	1.43	+	3.50	1.47E-02	6	2.57	+	2.34	4.60E-02
response to peptide hormone (GO:0043434)	373	5	1.43	+	3.49	1.49E-02	6	2.57	+	2.33	4.65E-02
defense response to bacterium (GO:0042742)	300	4	1.15	+	3.47	2.92E-02	2	2.07	-	.97	1.00E00
response to organonitrogen compound (GO:0010243)	986	13	3.78	+	3.44	9.88E-05	14	6.80	+	2.06	9.66E-03
response to wounding (GO:0009611)	456	6	1.75	+	3.43	8.50E-03	4	3.14	+	1.27	5.60E-01
response to nutrient (GO:0007584)	152	2	.58	+	3.43	1.17E-01	4	1.05	+	3.82	2.25E-02
response to monosaccharide (GO:0034284)	152	2	.58	+	3.43	1.17E-01	5	1.05	+	4.77	4.56E-03
cellular response to stress (GO:0033554)	1603	21	6.15	+	3.41	4.90E-07	22	11.06	+	1.99	2.35E-03
organic anion transport (GO:0015711)	383	5	1.47	+	3.40	1.65E-02	3	2.64	+	1.14	7.50E-01
cell-cell adhesion (GO:0098609)	543	7	2.08	+	3.36	5.05E-03	8	3.75	+	2.14	5.77E-02
cellular response to transforming growth factor beta stimulus (GO:0071560)	156	2	.60	+	3.34	1.22E-01	4	1.08	+	3.72	2.44E-02
cellular response to growth factor stimulus (GO:0071363)	479	6	1.84	+	3.26	1.06E-02	7	3.30	+	2.12	5.02E-02
inflammatory response (GO:0006954)	560	7	2.15	+	3.26	5.95E-03	9	3.86	+	2.33	1.66E-02
response to oxygen-containing compound (GO:1901700)	1681	21	6.45	+	3.26	1.05E-06	26	11.59	+	2.24	9.36E-05
amide metabolic process (GO:0043603)	801	10	3.07	+	3.25	1.02E-03	14	5.52	+	2.53	1.44E-03
regulation of leukocyte differentiation (GO:1902105)	321	4	1.23	+	3.25	3.60E-02	4	2.21	+	1.81	2.89E-01
anatomical structure homeostasis (GO:0060249)	241	3	.92	+	3.24	6.69E-02	5	1.66	+	3.01	2.73E-02
tissue homeostasis (GO:0001894)	241	3	.92	+	3.24	6.69E-02	5	1.66	+	3.01	2.73E-02
regulation of hemopoiesis (GO:1903706)	403	5	1.55	+	3.23	2.00E-02	7	2.78	+	2.52	2.30E-02
response to transforming growth factor beta (GO:0071559)	163	2	.63	+	3.20	1.31E-01	4	1.12	+	3.56	2.80E-02
response to nitrogen compound (GO:1901698)	1060	13	4.07	+	3.20	2.01E-04	14	7.31	+	1.92	2.01E-02
cellular response to oxygen-containing compound (GO:1901701)	1146	14	4.40	+	3.18	1.15E-04	17	7.90	+	2.15	2.82E-03
circulatory system process (GO:0003013)	494	6	1.90	+	3.17	1.22E-02	5	3.41	+	1.47	3.98E-01
regulation of small molecule metabolic process (GO:0062012)	331	4	1.27	+	3.15	3.95E-02	5	2.28	+	2.19	8.16E-02
retinoid metabolic process (GO:0001523)	85	1	.33	+	3.07	2.81E-01	3	.59	+	5.12	2.26E-02
cellular response to hormone stimulus (GO:0032870)	510	6	1.96	+	3.07	1.41E-02	7	3.52	+	1.99	9.28E-02
response to growth factor (GO:0070848)	510	6	1.96	+	3.07	1.41E-02	7	3.52	+	1.99	9.28E-02
response to endogenous stimulus (GO:0009719)	1464	17	5.62	+	3.03	3.56E-05	20	10.10	+	1.98	4.59E-03
oxoacid metabolic process (GO:0043436)	863	10	3.31	+	3.02	1.77E-03	18	5.95	+	3.02	3.37E-05
response to xenobiotic stimulus (GO:0009410)	433	5	1.66	+	3.01	2.62E-02	7	2.99	+	2.34	3.21E-02
epithelial cell proliferation (GO:0050673)	174	2	.67	+	3.00	1.46E-01	4	1.20	+	3.33	3.42E-02
organic acid metabolic process (GO:0006082)	870	10	3.34	+	3.00	1.87E-03	18	6.00	+	3.00	3.74E-05
response to organic cyclic compound (GO:0014070)	871	10	3.34	+	2.99	1.89E-03	14	6.01	+	2.33	3.06E-03
blood vessel development (GO:0001568)	526	6	2.02	+	2.97	1.62E-02	5	3.63	+	1.38	4.17E-01
regulation of lipid metabolic process (GO:0019216)	352	4	1.35	+	2.96	4.75E-02	3	2.43	+	1.24	7.38E-01
diterpenoid metabolic process (GO:0016101)	88	1	.34	+	2.96	2.89E-01	3	.61	+	4.94	2.47E-02
positive regulation of cell development (GO:0010720)	441	5	1.69	+	2.95	2.81E-02	5	3.04	+	1.64	2.37E-01
behavior (GO:0007610)	622	7	2.39	+	2.93	1.02E-02	6	4.29	+	1.40	3.30E-01
carbohydrate metabolic process (GO:0005975)	449	5	1.72	+	2.90	3.00E-02	7	3.10	+	2.26	3.78E-02
positive regulation of protein binding (GO:0032092)	90	1	.35	+	2.90	2.95E-01	5	.62	+	8.06	4.96E-04
cell activation (GO:0001775)	724	8	2.78	+	2.88	6.80E-03	7	4.99	+	1.40	3.54E-01
vasculature development (GO:0001944)	546	6	2.10	+	2.86	1.90E-02	6	3.77	+	1.59	2.84E-01
cell population proliferation (GO:0008283)	729	8	2.80	+	2.86	7.08E-03	9	5.03	+	1.79	1.03E-01
biological process involved in interspecies interaction between organisms (GO:0044419)	1553	17	5.96	+	2.85	7.39E-05	18	10.71	+	1.68	3.62E-02
response to other organism (GO:0051707)	1373	15	5.27	+	2.85	2.16E-04	17	9.47	+	1.80	1.76E-02
response to external biotic stimulus (GO:0043207)	1376	15	5.28	+	2.84	2.21E-04	17	9.49	+	1.79	1.78E-02
small molecule biosynthetic process (GO:0044283)	461	5	1.77	+	2.83	3.30E-02	11	3.18	+	3.46	4.16E-04
carboxylic acid biosynthetic process (GO:0046394)	277	3	1.06	+	2.82	9.21E-02	8	1.91	+	4.19	7.93E-04
response to organic substance (GO:0010033)	2592	28	9.95	+	2.82	1.80E-07	34	17.88	+	1.90	1.96E-04
circulatory system development (GO:0072359)	926	10	3.55	+	2.81	2.93E-03	11	6.39	+	1.72	6.80E-02
response to abiotic stimulus (GO:0009628)	1118	12	4.29	+	2.80	1.16E-03	13	7.71	+	1.69	6.14E-02
organic acid biosynthetic process (GO:0016053)	280	3	1.07	+	2.79	9.43E-02	8	1.93	+	4.14	8.48E-04
carboxylic acid metabolic process (GO:0019752)	841	9	3.23	+	2.79	5.06E-03	18	5.80	+	3.10	2.42E-05
response to biotic stimulus (GO:0009607)	1421	15	5.45	+	2.75	3.11E-04	17	9.80	+	1.73	2.88E-02
positive regulation of cell population proliferation (GO:0008284)	950	10	3.65	+	2.74	3.51E-03	12	6.55	+	1.83	4.19E-02
lymphocyte activation (GO:0046649)	478	5	1.83	+	2.73	3.76E-02	4	3.30	+	1.21	5.75E-01
monosaccharide metabolic process (GO:0005996)	192	2	.74	+	2.71	1.70E-01	4	1.32	+	3.02	4.60E-02
primary alcohol metabolic process (GO:0034308)	96	1	.37	+	2.71	3.11E-01	3	.66	+	4.53	3.06E-02
regulation of vasculature development (GO:1901342)	291	3	1.12	+	2.69	1.03E-01	6	2.01	+	2.99	1.67E-02
transforming growth factor beta receptor signaling pathway (GO:0007179)	97	1	.37	+	2.69	3.14E-01	3	.67	+	4.48	3.14E-02
negative regulation of neuron death (GO:1901215)	195	2	.75	+	2.67	1.74E-01	4	1.34	+	2.97	4.82E-02
regulation of amide metabolic process (GO:0034248)	488	5	1.87	+	2.67	4.05E-02	6	3.37	+	1.78	1.56E-01
hemopoiesis (GO:0030097)	685	7	2.63	+	2.66	1.66E-02	11	4.72	+	2.33	8.49E-03
regulation of apoptotic process (GO:0042981)	1471	15	5.64	+	2.66	4.48E-04	21	10.15	+	2.07	1.55E-03
terpenoid metabolic process (GO:0006721)	99	1	.38	+	2.63	3.19E-01	3	.68	+	4.39	3.30E-02
cellular response to endogenous stimulus (GO:0071495)	1201	12	4.61	+	2.60	2.11E-03	16	8.28	+	1.93	1.10E-02
leukocyte activation (GO:0045321)	601	6	2.31	+	2.60	2.86E-02	5	4.15	+	1.21	6.13E-01
response to stress (GO:0006950)	3424	34	13.14	+	2.59	3.32E-08	44	23.61	+	1.86	2.34E-05
muscle structure development (GO:0061061)	504	5	1.93	+	2.59	4.54E-02	4	3.48	+	1.15	7.81E-01
negative regulation of cell population proliferation (GO:0008285)	708	7	2.72	+	2.58	1.94E-02	9	4.88	+	1.84	6.51E-02
regulation of programmed cell death (GO:0043067)	1521	15	5.84	+	2.57	6.33E-04	21	10.49	+	2.00	3.18E-03
organonitrogen compound catabolic process (GO:1901565)	1118	11	4.29	+	2.56	3.67E-03	14	7.71	+	1.82	3.79E-02
negative regulation of angiogenesis (GO:0016525)	102	1	.39	+	2.56	3.27E-01	3	.70	+	4.26	3.56E-02
regulation of glucose metabolic process (GO:0010906)	102	1	.39	+	2.56	3.27E-01	3	.70	+	4.26	3.56E-02
response to cytokine (GO:0034097)	819	8	3.14	+	2.55	1.36E-02	10	5.65	+	1.77	7.98E-02
cellular response to cytokine stimulus (GO:0071345)	721	7	2.77	+	2.53	2.12E-02	10	4.97	+	2.01	3.50E-02
cellular response to peptide (GO:1901653)	309	3	1.19	+	2.53	1.17E-01	6	2.13	+	2.82	2.15E-02
negative regulation of blood vessel morphogenesis (GO:2000181)	103	1	.40	+	2.53	3.29E-01	3	.71	+	4.22	3.64E-02
negative regulation of vasculature development (GO:1901343)	104	1	.40	+	2.51	3.32E-01	3	.72	+	4.18	3.73E-02
cellular response to chemical stimulus (GO:0070887)	2397	23	9.20	+	2.50	2.36E-05	30	16.53	+	1.81	1.42E-03
monocarboxylic acid metabolic process (GO:0032787)	523	5	2.01	+	2.49	5.16E-02	13	3.61	+	3.60	8.32E-05
small molecule metabolic process (GO:0044281)	1676	16	6.43	+	2.49	5.78E-04	28	11.56	+	2.42	1.63E-05
negative regulation of intracellular signal transduction (GO:1902532)	524	5	2.01	+	2.49	5.20E-02	8	3.61	+	2.21	3.03E-02
epithelial cell differentiation (GO:0030855)	635	6	2.44	+	2.46	3.59E-02	5	4.38	+	1.14	6.29E-01
negative regulation of hydrolase activity (GO:0051346)	320	3	1.23	+	2.44	1.26E-01	6	2.21	+	2.72	2.50E-02
positive regulation of cell differentiation (GO:0045597)	857	8	3.29	+	2.43	1.74E-02	9	5.91	+	1.52	2.01E-01
cell adhesion (GO:0007155)	967	9	3.71	+	2.43	1.20E-02	12	6.67	+	1.80	4.50E-02
positive regulation of cell-cell adhesion (GO:0022409)	323	3	1.24	+	2.42	1.29E-01	6	2.23	+	2.69	2.60E-02
regulation of hormone levels (GO:0010817)	542	5	2.08	+	2.40	5.83E-02	9	3.74	+	2.41	1.37E-02
negative regulation of peptidase activity (GO:0010466)	218	2	.84	+	2.39	2.06E-01	5	1.50	+	3.33	1.88E-02
response to external stimulus (GO:0009605)	2422	22	9.29	+	2.37	1.33E-04	30	16.70	+	1.80	1.51E-03
response to chemical (GO:0042221)	3899	35	14.96	+	2.34	2.94E-07	43	26.89	+	1.60	1.18E-03
regulation of cell population proliferation (GO:0042127)	1674	15	6.42	+	2.34	1.66E-03	21	11.55	+	1.82	8.00E-03
establishment of protein localization to organelle (GO:0072594)	344	3	1.32	+	2.27	1.47E-01	6	2.37	+	2.53	3.37E-02
negative regulation of programmed cell death (GO:0043069)	920	8	3.53	+	2.27	2.52E-02	17	6.35	+	2.68	2.36E-04
regulation of multicellular organismal development (GO:2000026)	1401	12	5.38	+	2.23	1.08E-02	17	9.66	+	1.76	2.76E-02
proteolysis (GO:0006508)	1286	11	4.93	+	2.23	1.60E-02	11	8.87	+	1.24	4.83E-01
regulation of cell development (GO:0060284)	829	7	3.18	+	2.20	4.06E-02	13	5.72	+	2.27	7.97E-03
cellular response to organic substance (GO:0071310)	1777	15	6.82	+	2.20	3.72E-03	21	12.26	+	1.71	1.55E-02
defense response (GO:0006952)	1431	12	5.49	+	2.19	1.17E-02	18	9.87	+	1.82	1.25E-02
cellular catabolic process (GO:0044248)	1076	9	4.13	+	2.18	3.64E-02	14	7.42	+	1.89	2.16E-02
positive regulation of developmental process (GO:0051094)	1319	11	5.06	+	2.17	1.72E-02	12	9.10	+	1.32	3.02E-01
reproductive process (GO:0022414)	1448	12	5.56	+	2.16	1.22E-02	10	9.99	+	1.00	1.00E00
reproduction (GO:0000003)	1458	12	5.59	+	2.15	1.26E-02	10	10.06	-	.99	1.00E00
organic substance catabolic process (GO:1901575)	1709	14	6.56	+	2.13	6.39E-03	20	11.79	+	1.70	2.08E-02
negative regulation of protein metabolic process (GO:0051248)	986	8	3.78	+	2.11	5.60E-02	13	6.80	+	1.91	2.70E-02
regulation of apoptotic signaling pathway (GO:2001233)	375	3	1.44	+	2.08	1.76E-01	6	2.59	+	2.32	4.75E-02
nitrogen compound transport (GO:0071705)	1627	13	6.24	+	2.08	1.04E-02	14	11.22	+	1.25	3.51E-01
cellular nitrogen compound biosynthetic process (GO:0044271)	1633	13	6.27	+	2.07	1.06E-02	22	11.26	+	1.95	2.63E-03
positive regulation of leukocyte activation (GO:0002696)	379	3	1.45	+	2.06	1.80E-01	6	2.61	+	2.30	4.95E-02
negative regulation of apoptotic process (GO:0043066)	892	7	3.42	+	2.05	8.55E-02	17	6.15	+	2.76	1.65E-04
regulation of wound healing (GO:0061041)	129	1	.49	+	2.02	3.93E-01	5	.89	+	5.62	2.31E-03
regulation of cell differentiation (GO:0045595)	1558	12	5.98	+	2.01	1.76E-02	17	10.75	+	1.58	5.56E-02
regulation of cell adhesion (GO:0030155)	789	6	3.03	+	1.98	1.28E-01	11	5.44	+	2.02	2.55E-02
catabolic process (GO:0009056)	1983	15	7.61	+	1.97	1.11E-02	26	13.68	+	1.90	1.46E-03
animal organ development (GO:0048513)	2925	22	11.22	+	1.96	1.73E-03	26	20.17	+	1.29	1.83E-01
organonitrogen compound biosynthetic process (GO:1901566)	1348	10	5.17	+	1.93	3.83E-02	18	9.30	+	1.94	9.42E-03
organic substance transport (GO:0071702)	2219	16	8.51	+	1.88	1.62E-02	20	15.30	+	1.31	2.20E-01
organonitrogen compound metabolic process (GO:1901564)	4857	35	18.64	+	1.88	5.16E-05	51	33.50	+	1.52	1.00E-03
cellular biosynthetic process (GO:0044249)	2228	16	8.55	+	1.87	1.63E-02	32	15.37	+	2.08	6.08E-05
regulation of biological quality (GO:0065008)	2934	21	11.26	+	1.87	3.50E-03	30	20.24	+	1.48	2.93E-02
rhythmic process (GO:0048511)	280	2	1.07	+	1.86	2.93E-01	7	1.93	+	3.62	3.68E-03
negative regulation of epithelial cell proliferation (GO:0050680)	140	1	.54	+	1.86	4.18E-01	4	.97	+	4.14	1.73E-02
negative regulation of response to external stimulus (GO:0032102)	423	3	1.62	+	1.85	2.23E-01	7	2.92	+	2.40	2.88E-02
homeostatic process (GO:0042592)	1415	10	5.43	+	1.84	6.85E-02	17	9.76	+	1.74	2.84E-02
regulation of kinase activity (GO:0043549)	709	5	2.72	+	1.84	2.00E-01	10	4.89	+	2.05	3.29E-02
regulation of multicellular organismal process (GO:0051239)	2983	21	11.45	+	1.83	5.64E-03	32	20.57	+	1.56	1.14E-02
regulation of localization (GO:0032879)	2131	15	8.18	+	1.83	2.39E-02	14	14.70	-	.95	1.00E00
positive regulation of RNA metabolic process (GO:0051254)	1856	13	7.12	+	1.83	2.93E-02	13	12.80	+	1.02	8.83E-01
negative regulation of cell migration (GO:0030336)	286	2	1.10	+	1.82	3.02E-01	6	1.97	+	3.04	1.54E-02
organic substance biosynthetic process (GO:1901576)	2585	18	9.92	+	1.81	1.02E-02	37	17.83	+	2.08	1.84E-05
negative regulation of cell adhesion (GO:0007162)	292	2	1.12	+	1.79	3.10E-01	6	2.01	+	2.98	1.69E-02
olefinic compound metabolic process (GO:0120254)	146	1	.56	+	1.79	4.32E-01	4	1.01	+	3.97	1.98E-02
biosynthetic process (GO:0009058)	2648	18	10.16	+	1.77	1.67E-02	39	18.26	+	2.14	3.62E-06
multicellular organismal-level homeostasis (GO:0048871)	594	4	2.28	+	1.76	2.93E-01	9	4.10	+	2.20	2.32E-02
system process (GO:0003008)	2080	14	7.98	+	1.75	3.70E-02	14	14.35	-	.98	1.00E00
regulation of immune system process (GO:0002682)	1488	10	5.71	+	1.75	7.74E-02	17	10.26	+	1.66	4.87E-02
