




Analysis Type:	PANTHER Overrepresentation Test (Released 20230705)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.7942786 Released 2023-05-10
Analyzed List:	go-genelist-py-5.csv (Homo sapiens)go-genelist-r.csv (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	NONE
GO biological process complete	Homo sapiens - REFLIST (20589)	go-genelist-py-5.csv (113)	go-genelist-py-5.csv (expected)	go-genelist-py-5.csv (over/under)	go-genelist-py-5.csv (fold Enrichment)	go-genelist-py-5.csv (raw P-value)	go-genelist-r.csv (142)	go-genelist-r.csv (expected)	go-genelist-r.csv (over/under)	go-genelist-r.csv (fold Enrichment)	go-genelist-r.csv (raw P-value)
acute inflammatory response (GO:0002526)	85	2	.47	+	4.29	8.19E-02	3	.59	+	5.12	2.26E-02
regulation of leukocyte chemotaxis (GO:0002688)	128	3	.70	+	4.27	3.50E-02	3	.88	+	3.40	6.12E-02
mononuclear cell proliferation (GO:0032943)	129	3	.71	+	4.24	3.57E-02	1	.89	+	1.12	5.92E-01
regulation of wound healing (GO:0061041)	129	3	.71	+	4.24	3.57E-02	5	.89	+	5.62	2.31E-03
regulation of protein ubiquitination (GO:0031396)	216	5	1.19	+	4.22	7.33E-03	4	1.49	+	2.69	6.49E-02
humoral immune response mediated by circulating immunoglobulin (GO:0002455)	44	1	.24	+	4.14	2.19E-01	2	.30	+	6.59	3.96E-02
regulation of bone resorption (GO:0045124)	44	1	.24	+	4.14	2.19E-01	2	.30	+	6.59	3.96E-02
negative regulation of response to biotic stimulus (GO:0002832)	133	3	.73	+	4.11	3.85E-02	2	.92	+	2.18	2.36E-01
vesicle-mediated transport to the plasma membrane (GO:0098876)	134	3	.74	+	4.08	3.92E-02	1	.92	+	1.08	6.06E-01
nuclear export (GO:0051168)	134	3	.74	+	4.08	3.92E-02	0	.92	-	 < 0.01	1.00E00
mitochondrial RNA metabolic process (GO:0000959)	45	1	.25	+	4.05	2.23E-01	2	.31	+	6.44	4.12E-02
response to pH (GO:0009268)	45	1	.25	+	4.05	2.23E-01	2	.31	+	6.44	4.12E-02
lymphocyte activation involved in immune response (GO:0002285)	136	3	.75	+	4.02	4.07E-02	3	.94	+	3.20	7.05E-02
response to hypoxia (GO:0001666)	272	6	1.49	+	4.02	4.24E-03	6	1.88	+	3.20	1.24E-02
sensory perception of mechanical stimulus (GO:0050954)	182	4	1.00	+	4.00	1.90E-02	1	1.26	-	.80	1.00E00
protein-containing complex disassembly (GO:0032984)	139	3	.76	+	3.93	4.29E-02	3	.96	+	3.13	7.41E-02
mRNA transcription by RNA polymerase II (GO:0042789)	47	1	.26	+	3.88	2.31E-01	2	.32	+	6.17	4.44E-02
signal transduction in response to DNA damage (GO:0042770)	142	3	.78	+	3.85	4.51E-02	1	.98	+	1.02	6.27E-01
positive regulation of protein modification by small protein conjugation or removal (GO:1903322)	142	3	.78	+	3.85	4.51E-02	2	.98	+	2.04	2.59E-01
response to glucocorticoid (GO:0051384)	143	3	.78	+	3.82	4.59E-02	4	.99	+	4.06	1.86E-02
response to decreased oxygen levels (GO:0036293)	286	6	1.57	+	3.82	5.37E-03	6	1.97	+	3.04	1.54E-02
Golgi organization (GO:0007030)	144	3	.79	+	3.80	4.67E-02	1	.99	+	1.01	1.00E00
regulation of signaling receptor activity (GO:0010469)	144	3	.79	+	3.80	4.67E-02	0	.99	-	 < 0.01	6.30E-01
negative regulation of coagulation (GO:0050819)	49	1	.27	+	3.72	2.40E-01	2	.34	+	5.92	4.78E-02
negative regulation of epithelial cell differentiation (GO:0030857)	49	1	.27	+	3.72	2.40E-01	3	.34	+	8.88	5.44E-03
leukocyte migration (GO:0050900)	246	5	1.35	+	3.70	1.23E-02	3	1.70	+	1.77	2.43E-01
leukocyte proliferation (GO:0070661)	148	3	.81	+	3.69	4.98E-02	1	1.02	-	.98	1.00E00
negative regulation of immune response (GO:0050777)	198	4	1.09	+	3.68	2.49E-02	2	1.37	+	1.46	3.99E-01
protein-RNA complex assembly (GO:0022618)	199	4	1.09	+	3.66	2.53E-02	2	1.37	+	1.46	4.01E-01
negative regulation of protein kinase activity (GO:0006469)	200	4	1.10	+	3.64	2.57E-02	2	1.38	+	1.45	4.04E-01
DNA replication (GO:0006260)	200	4	1.10	+	3.64	2.57E-02	1	1.38	-	.72	1.00E00
cellular response to lipopolysaccharide (GO:0071222)	200	4	1.10	+	3.64	2.57E-02	4	1.38	+	2.90	5.19E-02
regulation of gluconeogenesis (GO:0006111)	50	1	.27	+	3.64	2.44E-01	2	.34	+	5.80	4.94E-02
negative regulation of I-kappaB kinase/NF-kappaB signaling (GO:0043124)	50	1	.27	+	3.64	2.44E-01	2	.34	+	5.80	4.94E-02
positive regulation of T cell activation (GO:0050870)	251	5	1.38	+	3.63	1.32E-02	4	1.73	+	2.31	9.84E-02
response to nutrient (GO:0007584)	152	3	.83	+	3.60	5.31E-02	4	1.05	+	3.82	2.25E-02
cellular response to metal ion (GO:0071248)	204	4	1.12	+	3.57	2.73E-02	1	1.41	-	.71	1.00E00
regulation of protein modification by small protein conjugation or removal (GO:1903320)	256	5	1.41	+	3.56	1.43E-02	4	1.77	+	2.27	1.04E-01
cell activation involved in immune response (GO:0002263)	205	4	1.13	+	3.56	2.77E-02	4	1.41	+	2.83	5.58E-02
response to heat (GO:0009408)	103	2	.57	+	3.54	1.12E-01	3	.71	+	4.22	3.64E-02
protein-RNA complex organization (GO:0071826)	207	4	1.14	+	3.52	2.86E-02	2	1.43	+	1.40	6.56E-01
response to ketone (GO:1901654)	207	4	1.14	+	3.52	2.86E-02	7	1.43	+	4.90	6.94E-04
cellular response to transforming growth factor beta stimulus (GO:0071560)	156	3	.86	+	3.50	5.65E-02	4	1.08	+	3.72	2.44E-02
cellular response to steroid hormone stimulus (GO:0071383)	156	3	.86	+	3.50	5.65E-02	4	1.08	+	3.72	2.44E-02
response to oxygen levels (GO:0070482)	314	6	1.72	+	3.48	8.27E-03	6	2.17	+	2.77	2.31E-02
regulation of protein catabolic process (GO:0042176)	369	7	2.03	+	3.46	4.59E-03	4	2.54	+	1.57	3.28E-01
cellular response to molecule of bacterial origin (GO:0071219)	211	4	1.16	+	3.45	3.03E-02	4	1.46	+	2.75	6.06E-02
negative regulation of response to external stimulus (GO:0032102)	423	8	2.32	+	3.45	2.52E-03	7	2.92	+	2.40	2.88E-02
defense response to other organism (GO:0098542)	1008	19	5.53	+	3.43	2.80E-06	12	6.95	+	1.73	7.45E-02
glycolipid metabolic process (GO:0006664)	107	2	.59	+	3.41	1.20E-01	4	.74	+	5.42	7.18E-03
non-membrane-bounded organelle assembly (GO:0140694)	322	6	1.77	+	3.40	9.27E-03	4	2.22	+	1.80	2.90E-01
response to lipopolysaccharide (GO:0032496)	324	6	1.78	+	3.37	9.53E-03	5	2.23	+	2.24	7.62E-02
liposaccharide metabolic process (GO:1903509)	108	2	.59	+	3.37	1.21E-01	4	.74	+	5.37	7.41E-03
homeostasis of number of cells (GO:0048872)	271	5	1.49	+	3.36	1.78E-02	4	1.87	+	2.14	1.21E-01
response to transforming growth factor beta (GO:0071559)	163	3	.89	+	3.35	6.26E-02	4	1.12	+	3.56	2.80E-02
organic hydroxy compound metabolic process (GO:1901615)	489	9	2.68	+	3.35	1.64E-03	7	3.37	+	2.08	8.65E-02
negative regulation of defense response (GO:0031348)	272	5	1.49	+	3.35	1.80E-02	4	1.88	+	2.13	1.22E-01
positive regulation of protein catabolic process (GO:0045732)	218	4	1.20	+	3.34	3.35E-02	2	1.50	+	1.33	6.65E-01
positive regulation of leukocyte cell-cell adhesion (GO:1903039)	274	5	1.50	+	3.32	1.85E-02	4	1.89	+	2.12	1.24E-01
alcohol metabolic process (GO:0006066)	330	6	1.81	+	3.31	1.04E-02	5	2.28	+	2.20	8.08E-02
cellular detoxification (GO:1990748)	110	2	.60	+	3.31	1.25E-01	6	.76	+	7.91	1.49E-04
negative regulation of kinase activity (GO:0033673)	222	4	1.22	+	3.28	3.54E-02	2	1.53	+	1.31	6.68E-01
carbohydrate catabolic process (GO:0016052)	112	2	.61	+	3.25	1.29E-01	3	.77	+	3.88	4.46E-02
epithelial cell apoptotic process (GO:1904019)	56	1	.31	+	3.25	2.68E-01	3	.39	+	7.77	7.73E-03
response to peptide (GO:1901652)	454	8	2.49	+	3.21	3.85E-03	11	3.13	+	3.51	3.67E-04
response to molecule of bacterial origin (GO:0002237)	342	6	1.88	+	3.20	1.22E-02	5	2.36	+	2.12	9.06E-02
negative regulation of apoptotic signaling pathway (GO:2001234)	229	4	1.26	+	3.18	3.89E-02	5	1.58	+	3.17	2.26E-02
regulation of leukocyte migration (GO:0002685)	229	4	1.26	+	3.18	3.89E-02	3	1.58	+	1.90	2.13E-01
innate immune response (GO:0045087)	760	13	4.17	+	3.12	3.06E-04	7	5.24	+	1.34	3.73E-01
cellular response to inorganic substance (GO:0071241)	235	4	1.29	+	3.10	4.21E-02	1	1.62	-	.62	1.00E00
negative regulation of apoptotic process (GO:0043066)	892	15	4.90	+	3.06	1.23E-04	17	6.15	+	2.76	1.65E-04
cellular response to biotic stimulus (GO:0071216)	238	4	1.31	+	3.06	4.37E-02	4	1.64	+	2.44	8.51E-02
cellular response to toxic substance (GO:0097237)	119	2	.65	+	3.06	1.42E-01	6	.82	+	7.31	2.23E-04
positive regulation of binding (GO:0051099)	179	3	.98	+	3.05	7.78E-02	6	1.23	+	4.86	1.75E-03
response to other organism (GO:0051707)	1373	23	7.54	+	3.05	1.57E-06	17	9.47	+	1.80	1.76E-02
response to external biotic stimulus (GO:0043207)	1376	23	7.55	+	3.05	1.63E-06	17	9.49	+	1.79	1.78E-02
regulation of protein serine/threonine kinase activity (GO:0071900)	359	6	1.97	+	3.05	1.51E-02	7	2.48	+	2.83	1.32E-02
response to inorganic substance (GO:0010035)	539	9	2.96	+	3.04	3.12E-03	10	3.72	+	2.69	4.60E-03
positive regulation of wound healing (GO:0090303)	60	1	.33	+	3.04	2.84E-01	3	.41	+	7.25	9.26E-03
negative regulation of immune system process (GO:0002683)	481	8	2.64	+	3.03	5.39E-03	7	3.32	+	2.11	5.11E-02
phospholipid biosynthetic process (GO:0008654)	245	4	1.34	+	2.97	4.77E-02	4	1.69	+	2.37	9.22E-02
negative regulation of programmed cell death (GO:0043069)	920	15	5.05	+	2.97	1.71E-04	17	6.35	+	2.68	2.36E-04
DNA recombination (GO:0006310)	247	4	1.36	+	2.95	4.88E-02	4	1.70	+	2.35	9.42E-02
response to biotic stimulus (GO:0009607)	1421	23	7.80	+	2.95	2.78E-06	17	9.80	+	1.73	2.88E-02
cellular response to peptide (GO:1901653)	309	5	1.70	+	2.95	2.90E-02	6	2.13	+	2.82	2.15E-02
regulation of leukocyte cell-cell adhesion (GO:1903037)	371	6	2.04	+	2.95	1.74E-02	5	2.56	+	1.95	1.17E-01
nucleocytoplasmic transport (GO:0006913)	248	4	1.36	+	2.94	4.94E-02	1	1.71	-	.58	1.00E00
nuclear transport (GO:0051169)	248	4	1.36	+	2.94	4.94E-02	1	1.71	-	.58	1.00E00
response to metal ion (GO:0010038)	372	6	2.04	+	2.94	1.76E-02	6	2.57	+	2.34	4.60E-02
negative regulation of proteolysis (GO:0045861)	314	5	1.72	+	2.90	3.07E-02	6	2.17	+	2.77	2.31E-02
regulation of carbohydrate metabolic process (GO:0006109)	189	3	1.04	+	2.89	8.80E-02	4	1.30	+	3.07	4.39E-02
regulation of T cell activation (GO:0050863)	379	6	2.08	+	2.88	1.91E-02	5	2.61	+	1.91	1.94E-01
epithelial cell differentiation (GO:0030855)	635	10	3.49	+	2.87	2.81E-03	5	4.38	+	1.14	6.29E-01
cognition (GO:0050890)	321	5	1.76	+	2.84	3.33E-02	3	2.21	+	1.36	4.89E-01
positive regulation of cell-cell adhesion (GO:0022409)	323	5	1.77	+	2.82	3.40E-02	6	2.23	+	2.69	2.60E-02
biological process involved in interspecies interaction between organisms (GO:0044419)	1553	24	8.52	+	2.82	3.57E-06	18	10.71	+	1.68	3.62E-02
defense response (GO:0006952)	1431	22	7.85	+	2.80	1.07E-05	18	9.87	+	1.82	1.25E-02
cellular response to lipid (GO:0071396)	527	8	2.89	+	2.77	9.06E-03	10	3.63	+	2.75	3.94E-03
positive regulation of lymphocyte activation (GO:0051251)	330	5	1.81	+	2.76	3.67E-02	5	2.28	+	2.20	8.08E-02
alpha-amino acid biosynthetic process (GO:1901607)	66	1	.36	+	2.76	3.07E-01	4	.46	+	8.79	1.36E-03
alpha-amino acid metabolic process (GO:1901605)	200	3	1.10	+	2.73	9.98E-02	6	1.38	+	4.35	2.99E-03
regulation of protein binding (GO:0043393)	202	3	1.11	+	2.71	1.02E-01	7	1.39	+	5.02	6.04E-04
chaperone-mediated protein folding (GO:0061077)	68	1	.37	+	2.68	3.15E-01	3	.47	+	6.40	1.28E-02
cell migration (GO:0016477)	892	13	4.90	+	2.66	1.32E-03	11	6.15	+	1.79	5.94E-02
response to bacterium (GO:0009617)	688	10	3.78	+	2.65	4.90E-03	9	4.75	+	1.90	5.83E-02
establishment of protein localization to organelle (GO:0072594)	344	5	1.89	+	2.65	4.26E-02	6	2.37	+	2.53	3.37E-02
membrane lipid metabolic process (GO:0006643)	207	3	1.14	+	2.64	1.08E-01	6	1.43	+	4.20	3.53E-03
carboxylic acid biosynthetic process (GO:0046394)	277	4	1.52	+	2.63	6.81E-02	8	1.91	+	4.19	7.93E-04
aromatic compound catabolic process (GO:0019439)	347	5	1.90	+	2.63	4.39E-02	4	2.39	+	1.67	3.08E-01
detoxification (GO:0098754)	139	2	.76	+	2.62	1.80E-01	6	.96	+	6.26	4.95E-04
regulation of body fluid levels (GO:0050878)	350	5	1.92	+	2.60	4.52E-02	7	2.41	+	2.90	1.16E-02
selective autophagy (GO:0061912)	70	1	.38	+	2.60	3.22E-01	3	.48	+	6.21	1.38E-02
organic acid biosynthetic process (GO:0016053)	280	4	1.54	+	2.60	7.03E-02	8	1.93	+	4.14	8.48E-04
positive regulation of immune response (GO:0050778)	633	9	3.47	+	2.59	8.59E-03	7	4.37	+	1.60	2.14E-01
negative regulation of protein metabolic process (GO:0051248)	986	14	5.41	+	2.59	1.10E-03	13	6.80	+	1.91	2.70E-02
cellular lipid metabolic process (GO:0044255)	918	13	5.04	+	2.58	1.70E-03	16	6.33	+	2.53	6.77E-04
positive regulation of response to wounding (GO:1903036)	71	1	.39	+	2.57	3.26E-01	4	.49	+	8.17	1.76E-03
regulation of smooth muscle cell proliferation (GO:0048660)	142	2	.78	+	2.57	1.86E-01	4	.98	+	4.08	1.81E-02
immune response (GO:0006955)	1649	23	9.05	+	2.54	3.03E-05	16	11.37	+	1.41	1.61E-01
negative regulation of endopeptidase activity (GO:0010951)	144	2	.79	+	2.53	1.90E-01	4	.99	+	4.03	1.90E-02
regulation of lymphocyte activation (GO:0051249)	504	7	2.77	+	2.53	2.20E-02	7	3.48	+	2.01	9.08E-02
response to steroid hormone (GO:0048545)	289	4	1.59	+	2.52	7.68E-02	7	1.99	+	3.51	4.36E-03
regulation of cell cycle phase transition (GO:1901987)	434	6	2.38	+	2.52	3.37E-02	3	2.99	+	1.00	1.00E00
negative regulation of peptidase activity (GO:0010466)	218	3	1.20	+	2.51	1.20E-01	5	1.50	+	3.33	1.88E-02
response to oxidative stress (GO:0006979)	367	5	2.01	+	2.48	5.33E-02	8	2.53	+	3.16	4.37E-03
regulation of apoptotic process (GO:0042981)	1471	20	8.07	+	2.48	1.53E-04	21	10.15	+	2.07	1.55E-03
regulation of coagulation (GO:0050818)	74	1	.41	+	2.46	3.37E-01	3	.51	+	5.88	1.59E-02
regulation of binding (GO:0051098)	371	5	2.04	+	2.46	5.53E-02	9	2.56	+	3.52	1.25E-03
response to mechanical stimulus (GO:0009612)	223	3	1.22	+	2.45	1.26E-01	5	1.54	+	3.25	2.05E-02
response to peptide hormone (GO:0043434)	373	5	2.05	+	2.44	5.63E-02	6	2.57	+	2.33	4.65E-02
monocarboxylic acid metabolic process (GO:0032787)	523	7	2.87	+	2.44	2.62E-02	13	3.61	+	3.60	8.32E-05
apoptotic process (GO:0006915)	1047	14	5.75	+	2.44	1.91E-03	15	7.22	+	2.08	6.79E-03
glutamine family amino acid metabolic process (GO:0009064)	75	1	.41	+	2.43	3.41E-01	3	.52	+	5.80	1.65E-02
positive regulation of immune system process (GO:0002684)	977	13	5.36	+	2.42	2.90E-03	10	6.74	+	1.48	2.29E-01
lipid biosynthetic process (GO:0008610)	606	8	3.33	+	2.41	1.93E-02	8	4.18	+	1.91	7.46E-02
positive regulation of leukocyte activation (GO:0002696)	379	5	2.08	+	2.40	5.95E-02	6	2.61	+	2.30	4.95E-02
response to organonitrogen compound (GO:0010243)	986	13	5.41	+	2.40	3.14E-03	14	6.80	+	2.06	9.66E-03
regulation of programmed cell death (GO:0043067)	1521	20	8.35	+	2.40	2.37E-04	21	10.49	+	2.00	3.18E-03
positive regulation of cell migration (GO:0030335)	534	7	2.93	+	2.39	2.89E-02	5	3.68	+	1.36	4.23E-01
cellular response to oxygen-containing compound (GO:1901701)	1146	15	6.29	+	2.38	1.61E-03	17	7.90	+	2.15	2.82E-03
regulation of protein kinase activity (GO:0045859)	615	8	3.38	+	2.37	2.09E-02	9	4.24	+	2.12	4.09E-02
regulation of epithelial cell differentiation (GO:0030856)	154	2	.85	+	2.37	2.09E-01	4	1.06	+	3.77	2.35E-02
cellular component morphogenesis (GO:0032989)	619	8	3.40	+	2.35	2.16E-02	4	4.27	-	.94	1.00E00
behavior (GO:0007610)	622	8	3.41	+	2.34	2.22E-02	6	4.29	+	1.40	3.30E-01
regulation of catabolic process (GO:0009894)	1013	13	5.56	+	2.34	3.93E-03	10	6.99	+	1.43	2.40E-01
programmed cell death (GO:0012501)	1093	14	6.00	+	2.33	2.82E-03	15	7.54	+	1.99	1.27E-02
response to toxic substance (GO:0009636)	235	3	1.29	+	2.33	1.41E-01	7	1.62	+	4.32	1.42E-03
negative regulation of catalytic activity (GO:0043086)	630	8	3.46	+	2.31	2.37E-02	8	4.35	+	1.84	8.41E-02
epithelium development (GO:0060429)	1103	14	6.05	+	2.31	4.92E-03	10	7.61	+	1.31	3.48E-01
cell death (GO:0008219)	1105	14	6.06	+	2.31	4.95E-03	15	7.62	+	1.97	1.33E-02
immune effector process (GO:0002252)	474	6	2.60	+	2.31	4.80E-02	6	3.27	+	1.84	1.48E-01
regulation of response to biotic stimulus (GO:0002831)	478	6	2.62	+	2.29	4.96E-02	6	3.30	+	1.82	1.50E-01
cellular response to growth factor stimulus (GO:0071363)	479	6	2.63	+	2.28	5.00E-02	7	3.30	+	2.12	5.02E-02
positive regulation of cell motility (GO:2000147)	559	7	3.07	+	2.28	3.56E-02	5	3.86	+	1.30	4.42E-01
inflammatory response (GO:0006954)	560	7	3.07	+	2.28	3.59E-02	9	3.86	+	2.33	1.66E-02
response to oxygen-containing compound (GO:1901700)	1681	21	9.23	+	2.28	3.83E-04	26	11.59	+	2.24	9.36E-05
anatomical structure formation involved in morphogenesis (GO:0048646)	961	12	5.27	+	2.28	1.11E-02	9	6.63	+	1.36	3.17E-01
amide metabolic process (GO:0043603)	801	10	4.40	+	2.27	1.33E-02	14	5.52	+	2.53	1.44E-03
cellular response to cytokine stimulus (GO:0071345)	721	9	3.96	+	2.27	1.85E-02	10	4.97	+	2.01	3.50E-02
anatomical structure homeostasis (GO:0060249)	241	3	1.32	+	2.27	1.49E-01	5	1.66	+	3.01	2.73E-02
tissue homeostasis (GO:0001894)	241	3	1.32	+	2.27	1.49E-01	5	1.66	+	3.01	2.73E-02
cell activation (GO:0001775)	724	9	3.97	+	2.26	1.90E-02	7	4.99	+	1.40	3.54E-01
regulation of immune response (GO:0050776)	889	11	4.88	+	2.25	1.02E-02	9	6.13	+	1.47	2.15E-01
protein localization to organelle (GO:0033365)	731	9	4.01	+	2.24	2.01E-02	8	5.04	+	1.59	1.71E-01
cell motility (GO:0048870)	1057	13	5.80	+	2.24	8.02E-03	12	7.29	+	1.65	8.39E-02
immune system process (GO:0002376)	2277	28	12.50	+	2.24	3.56E-05	21	15.70	+	1.34	1.78E-01
response to nitrogen compound (GO:1901698)	1060	13	5.82	+	2.23	8.11E-03	14	7.31	+	1.92	2.01E-02
fatty acid metabolic process (GO:0006631)	327	4	1.79	+	2.23	1.08E-01	6	2.26	+	2.66	2.73E-02
positive regulation of locomotion (GO:0040017)	575	7	3.16	+	2.22	4.04E-02	5	3.97	+	1.26	6.03E-01
regulation of immune system process (GO:0002682)	1488	18	8.17	+	2.20	1.50E-03	17	10.26	+	1.66	4.87E-02
tissue development (GO:0009888)	1753	21	9.62	+	2.18	6.00E-04	18	12.09	+	1.49	9.48E-02
cellular response to organic cyclic compound (GO:0071407)	502	6	2.76	+	2.18	5.99E-02	8	3.46	+	2.31	2.44E-02
cellular response to organonitrogen compound (GO:0071417)	593	7	3.25	+	2.15	4.63E-02	8	4.09	+	1.96	7.01E-02
supramolecular fiber organization (GO:0097435)	593	7	3.25	+	2.15	4.63E-02	6	4.09	+	1.47	3.09E-01
regulation of cell migration (GO:0030334)	933	11	5.12	+	2.15	1.92E-02	11	6.43	+	1.71	1.00E-01
multicellular organismal-level homeostasis (GO:0048871)	594	7	3.26	+	2.15	4.66E-02	9	4.10	+	2.20	2.32E-02
DNA damage response (GO:0006974)	766	9	4.20	+	2.14	3.93E-02	9	5.28	+	1.70	1.14E-01
regulation of leukocyte activation (GO:0002694)	596	7	3.27	+	2.14	4.73E-02	8	4.11	+	1.95	7.11E-02
response to lipid (GO:0033993)	854	10	4.69	+	2.13	2.78E-02	15	5.89	+	2.55	9.27E-04
leukocyte activation (GO:0045321)	601	7	3.30	+	2.12	4.91E-02	5	4.15	+	1.21	6.13E-01
response to abiotic stimulus (GO:0009628)	1118	13	6.14	+	2.12	1.04E-02	13	7.71	+	1.69	6.14E-02
response to endogenous stimulus (GO:0009719)	1464	17	8.03	+	2.12	2.98E-03	20	10.10	+	1.98	4.59E-03
response to organic substance (GO:0010033)	2592	30	14.23	+	2.11	8.41E-05	34	17.88	+	1.90	1.96E-04
response to external stimulus (GO:0009605)	2422	28	13.29	+	2.11	1.11E-04	30	16.70	+	1.80	1.51E-03
response to xenobiotic stimulus (GO:0009410)	433	5	2.38	+	2.10	9.20E-02	7	2.99	+	2.34	3.21E-02
carbohydrate derivative catabolic process (GO:1901136)	174	2	.95	+	2.09	2.50E-01	4	1.20	+	3.33	3.42E-02
negative regulation of intracellular signal transduction (GO:1902532)	524	6	2.88	+	2.09	7.04E-02	8	3.61	+	2.21	3.03E-02
response to stress (GO:0006950)	3424	39	18.79	+	2.08	5.45E-06	44	23.61	+	1.86	2.34E-05
response to hormone (GO:0009725)	791	9	4.34	+	2.07	4.26E-02	13	5.46	+	2.38	3.58E-03
regulation of response to external stimulus (GO:0032101)	1062	12	5.83	+	2.06	1.67E-02	13	7.32	+	1.77	5.31E-02
regulation of kinase activity (GO:0043549)	709	8	3.89	+	2.06	6.11E-02	10	4.89	+	2.05	3.29E-02
cellular response to stress (GO:0033554)	1603	18	8.80	+	2.05	3.98E-03	22	11.06	+	1.99	2.35E-03
cellular oxidant detoxification (GO:0098869)	90	1	.49	+	2.02	3.93E-01	5	.62	+	8.06	4.96E-04
positive regulation of protein binding (GO:0032092)	90	1	.49	+	2.02	3.93E-01	5	.62	+	8.06	4.96E-04
regulation of cell motility (GO:2000145)	991	11	5.44	+	2.02	2.47E-02	11	6.83	+	1.61	1.13E-01
regulation of hormone levels (GO:0010817)	542	6	2.97	+	2.02	1.28E-01	9	3.74	+	2.41	1.37E-02
response to cytokine (GO:0034097)	819	9	4.49	+	2.00	4.72E-02	10	5.65	+	1.77	7.98E-02
immunoglobulin mediated immune response (GO:0016064)	182	2	1.00	+	2.00	2.66E-01	4	1.26	+	3.19	3.92E-02
mitochondrion organization (GO:0007005)	458	5	2.51	+	1.99	1.10E-01	7	3.16	+	2.22	4.12E-02
small molecule biosynthetic process (GO:0044283)	461	5	2.53	+	1.98	1.12E-01	11	3.18	+	3.46	4.16E-04
cellular response to endogenous stimulus (GO:0071495)	1201	13	6.59	+	1.97	2.37E-02	16	8.28	+	1.93	1.10E-02
protein tetramerization (GO:0051262)	93	1	.51	+	1.96	4.03E-01	3	.64	+	4.68	2.83E-02
small molecule metabolic process (GO:0044281)	1676	18	9.20	+	1.96	5.38E-03	28	11.56	+	2.42	1.63E-05
organonitrogen compound catabolic process (GO:1901565)	1118	12	6.14	+	1.96	3.35E-02	14	7.71	+	1.82	3.79E-02
rhythmic process (GO:0048511)	280	3	1.54	+	1.95	2.01E-01	7	1.93	+	3.62	3.68E-03
carboxylic acid metabolic process (GO:0019752)	841	9	4.62	+	1.95	5.17E-02	18	5.80	+	3.10	2.42E-05
B cell mediated immunity (GO:0019724)	187	2	1.03	+	1.95	2.76E-01	4	1.29	+	3.10	4.26E-02
cellular response to organic substance (GO:0071310)	1777	19	9.75	+	1.95	6.20E-03	21	12.26	+	1.71	1.55E-02
regulation of apoptotic signaling pathway (GO:2001233)	375	4	2.06	+	1.94	1.53E-01	6	2.59	+	2.32	4.75E-02
regulation of locomotion (GO:0040012)	1036	11	5.69	+	1.93	3.07E-02	11	7.15	+	1.54	1.72E-01
biosynthetic process (GO:0009058)	2648	28	14.53	+	1.93	5.89E-04	39	18.26	+	2.14	3.62E-06
lipid metabolic process (GO:0006629)	1230	13	6.75	+	1.93	2.54E-02	18	8.48	+	2.12	3.67E-03
regulation of protein metabolic process (GO:0051246)	2462	26	13.51	+	1.92	1.14E-03	30	16.98	+	1.77	1.74E-03
amino acid metabolic process (GO:0006520)	285	3	1.56	+	1.92	2.08E-01	8	1.97	+	4.07	9.48E-04
macromolecule biosynthetic process (GO:0009059)	1526	16	8.38	+	1.91	1.11E-02	17	10.52	+	1.62	5.17E-02
negative regulation of cell projection organization (GO:0031345)	191	2	1.05	+	1.91	2.84E-01	5	1.32	+	3.80	1.13E-02
organic substance biosynthetic process (GO:1901576)	2585	27	14.19	+	1.90	8.99E-04	37	17.83	+	2.08	1.84E-05
cellular response to chemical stimulus (GO:0070887)	2397	25	13.16	+	1.90	1.69E-03	30	16.53	+	1.81	1.42E-03
oxoacid metabolic process (GO:0043436)	863	9	4.74	+	1.90	5.68E-02	18	5.95	+	3.02	3.37E-05
organonitrogen compound biosynthetic process (GO:1901566)	1348	14	7.40	+	1.89	2.03E-02	18	9.30	+	1.94	9.42E-03
organic acid metabolic process (GO:0006082)	870	9	4.77	+	1.88	5.86E-02	18	6.00	+	3.00	3.74E-05
transforming growth factor beta receptor signaling pathway (GO:0007179)	97	1	.53	+	1.88	4.16E-01	3	.67	+	4.48	3.14E-02
cellular lipid catabolic process (GO:0044242)	194	2	1.06	+	1.88	2.90E-01	4	1.34	+	2.99	4.75E-02
negative regulation of cell adhesion (GO:0007162)	292	3	1.60	+	1.87	2.18E-01	6	2.01	+	2.98	1.69E-02
negative regulation of molecular function (GO:0044092)	975	10	5.35	+	1.87	6.96E-02	12	6.72	+	1.78	4.65E-02
regulation of cell adhesion (GO:0030155)	789	8	4.33	+	1.85	8.20E-02	11	5.44	+	2.02	2.55E-02
regulation of hemopoiesis (GO:1903706)	403	4	2.21	+	1.81	2.88E-01	7	2.78	+	2.52	2.30E-02
cellular biosynthetic process (GO:0044249)	2228	22	12.23	+	1.80	5.91E-03	32	15.37	+	2.08	6.08E-05
regulation of proteolysis (GO:0030162)	709	7	3.89	+	1.80	1.16E-01	11	4.89	+	2.25	1.73E-02
regulation of catalytic activity (GO:0050790)	1827	18	10.03	+	1.80	1.86E-02	20	12.60	+	1.59	3.74E-02
